caller_id,callee_id,call_start,call_duration,call_type,cell_id,location,imei,is_fraud
2970466637702.0,3681516543206.0,2023-03-03 05:12:41,2938.0,video_in,CELL_135,"28.7092,-32.4055",IMEI_284302,False
3407095112646.0,1399306988273.0,2023-07-23 01:30:53,743.0,conference,CELL_945,"-45.1618,11.5098",IMEI_127753,False
4234057049810.0,2514278974310.0,2023-05-07 18:09:24,1000.0,voice_out,CELL_156,"25.4261,46.8201",IMEI_447325,False
6855871794762.0,7829689286937.0,2023-12-26 00:51:54,866.0,video_out,CELL_688,"49.1163,105.3097",IMEI_278289,False
4604006758836.0,6798453691766.0,2023-01-30 02:53:11,323.0,conference,CELL_951,"19.6487,103.3612",IMEI_458367,False
1108635678268.0,2743345499420.0,2023-03-31 03:10:40,3569.0,video_out,CELL_804,,IMEI_874933,False
6984540838037.0,4260906813880.0,2023-06-01 07:20:39,2483.0,conference,,"13.6616,-151.2510",IMEI_148929,False
7868028631105.0,3786122778279.0,2023-12-03 08:33:49,3361.0,video_out,CELL_862,"87.2250,-134.4191",IMEI_811943,False
5543040789341.0,2415398083863.0,2023-09-09 23:31:59,1012.0,voice_in,CELL_171,"50.7740,140.3241",IMEI_357558,False
8567684364632.0,2838990986149.0,2023-07-29 03:32:59,2650.0,voice_in,CELL_636,"-18.9940,28.6879",IMEI_387798,True
5361589113781.0,1803204107971.0,2023-10-26 01:09:55,2222.0,video_out,CELL_115,"16.8265,-147.7476",IMEI_723104,False
3012882804937.0,6226957825431.0,2023-10-31 05:22:02,322.0,video_out,CELL_926,"83.9383,174.9542",IMEI_638147,False
4415801574377.0,3405037569685.0,2023-11-26 22:18:21,1846.0,voice_in,,"-40.8382,115.2144",IMEI_118849,False
6935859450295.0,4926799445599.0,2023-03-31 12:30:33,475.0,,CELL_869,"26.0513,19.5417",IMEI_512067,False
4056805691044.0,3403953550083.0,2023-06-11 09:51:33,3045.0,conference,CELL_722,"-31.9355,-15.7096",IMEI_770474,False
9287129869237.0,9227060879988.0,2023-04-23 18:25:37,257.0,voice_in,,"-62.1719,134.0541",IMEI_680697,False
4122495480337.0,5735765721704.0,2023-08-10 23:05:11,1050.0,voice_in,CELL_702,"-12.1576,176.6025",,False
9738186628743.0,3412743615148.0,2023-01-12 13:32:45,3107.0,voice_in,CELL_964,"-16.8276,-42.7496",IMEI_524605,False
5589576045517.0,2701840134482.0,2023-05-10 23:18:33,3456.0,video_in,CELL_899,"7.3312,-39.9786",IMEI_642365,False
8039887761239.0,8232549638667.0,2023-12-05 21:44:19,268.0,conference,CELL_956,"30.1107,177.3684",IMEI_888554,False
8022336100712.0,6085527926689.0,2023-01-23 00:38:24,1271.0,conference,CELL_454,"37.4583,-129.3294",IMEI_353192,False
1871990643760.0,7642115057354.0,2023-10-23 21:16:29,1125.0,video_out,CELL_879,"-71.5990,-114.1442",IMEI_894063,False
1359248940319.0,9686471161252.0,2023-12-28 19:52:44,1377.0,,CELL_495,"-61.7687,-78.0537",IMEI_220466,False
2578718029408.0,2420243729863.0,2023-11-15 13:10:10,1663.0,voice_out,CELL_516,"-29.6661,116.8317",IMEI_965000,False
6132284949347.0,6225585250953.0,2023-11-30 20:34:54,1830.0,conference,CELL_714,"1.2402,-141.5884",,False
3139257421198.0,4026543684162.0,2023-10-14 05:32:36,75.0,voice_out,CELL_347,"-42.8984,-87.0075",IMEI_991563,False
2166950240340.0,7865586507606.0,2023-05-23 05:47:59,1285.0,conference,CELL_463,"-19.8309,110.1334",IMEI_799521,False
8719182289777.0,8666300467709.0,2023-09-01 02:21:22,3480.0,voice_in,CELL_700,"75.8287,49.3950",IMEI_572627,False
4468991558957.0,5938356325392.0,2023-12-08 18:27:35,262.0,conference,CELL_349,"-57.0023,-14.5988",IMEI_180353,True
2061579745310.0,8025512756808.0,2023-12-06 02:41:06,2292.0,voice_out,CELL_523,"69.3388,48.3553",IMEI_813046,False
9170821766022.0,7282020997708.0,2023-11-03 22:28:33,3281.0,voice_in,CELL_820,"-5.0853,-148.2477",IMEI_840559,False
7593752500848.0,6925063379290.0,2023-11-25 06:15:53,55.0,video_in,CELL_435,"-83.0663,34.6891",,False
4210658249813.0,7454801720794.0,2023-10-12 06:32:24,3373.0,voice_out,CELL_305,"75.1960,-151.5998",IMEI_851670,False
6046487516594.0,7499031800615.0,2023-11-29 17:42:50,2215.0,video_in,,"-34.5435,71.0689",IMEI_497853,False
2254127283682.0,6191537045852.0,2023-09-01 08:33:29,3025.0,voice_in,CELL_109,"30.5555,95.7239",IMEI_726147,False
2179513690979.0,2861522457108.0,2023-02-20 13:02:17,369.0,voice_in,CELL_541,,IMEI_452866,False
4034349270787.0,7892664885466.0,2023-06-21 16:46:47,2425.0,video_in,CELL_540,"-63.9668,65.4036",IMEI_224417,False
2513434580805.0,8576826433512.0,2023-03-11 20:52:31,109.0,conference,CELL_423,"-26.9027,154.4693",IMEI_843082,True
3570045565070.0,7439033688891.0,2023-03-25 18:46:49,3431.0,video_out,CELL_148,"-76.0354,-24.3573",IMEI_107215,False
4417025380416.0,5771525626223.0,2023-06-18 17:57:53,245.0,conference,CELL_304,"9.0899,148.0857",IMEI_419657,False
1258046822395.0,8036132734752.0,2023-07-29 07:57:19,2075.0,conference,CELL_731,"63.0198,-69.6302",IMEI_529854,False
2673138194920.0,4027350965546.0,2023-11-28 14:14:06,2147.0,conference,CELL_627,"17.4231,-50.1698",IMEI_241553,False
5484529523978.0,7952413208249.0,2023-11-02 19:18:25,3314.0,voice_in,CELL_544,"-73.2524,-128.4292",IMEI_179551,False
3326314781584.0,9370059146746.0,2023-06-07 09:37:16,1769.0,video_out,CELL_817,"63.4643,48.7219",IMEI_676121,False
9778249875667.0,6445741414523.0,2023-12-01 04:26:40,2905.0,voice_out,CELL_804,"58.1227,163.6932",IMEI_637645,False
9092057920882.0,3096657807248.0,2023-04-10 01:38:46,570.0,video_in,CELL_899,"62.4290,28.1906",IMEI_254962,False
6096781597974.0,7005254083405.0,2023-02-02 15:03:41,2566.0,video_out,CELL_580,"17.5920,145.9105",IMEI_785235,False
5718609494209.0,2791387699628.0,2023-07-20 01:17:10,1070.0,video_out,CELL_585,"-64.2747,77.6293",IMEI_645799,False
6274682120117.0,1083637301168.0,2023-03-06 00:55:18,277.0,voice_out,CELL_563,"76.5863,-90.4007",IMEI_139193,False
4166660659679.0,2982150285942.0,2023-06-20 01:31:34,2582.0,voice_out,CELL_756,"-89.8841,25.3037",IMEI_807195,False
2019646998082.0,7664756326466.0,2023-07-01 10:19:42,2274.0,conference,CELL_123,"89.6051,164.8800",IMEI_665401,False
1858611071675.0,9053552532592.0,2023-08-21 04:09:36,2457.0,conference,CELL_870,"29.0854,134.7069",IMEI_876045,False
5508072785565.0,4483718346256.0,2023-07-25 15:43:34,2619.0,conference,CELL_842,"-20.9600,-166.9494",IMEI_826515,False
4181243152660.0,5231156075504.0,2023-08-30 04:14:27,97.0,voice_in,CELL_745,,IMEI_832201,False
3675613907544.0,2876054689595.0,2023-09-30 01:34:56,739.0,,CELL_424,"-23.4822,-75.1828",IMEI_610280,False
6375450806087.0,4730994871371.0,2023-08-11 05:01:32,1683.0,video_out,CELL_285,"19.3877,160.1232",IMEI_262369,False
3548080400903.0,1591042668755.0,2023-11-27 14:04:03,2575.0,conference,CELL_213,"-60.9899,125.7087",,False
8610921234466.0,7362899466527.0,2023-09-10 07:02:59,377.0,video_in,CELL_138,"39.8128,40.9316",IMEI_275992,False
6515982411290.0,9414090036852.0,2023-12-16 05:48:04,364.0,video_in,CELL_886,"61.2674,-49.9858",IMEI_976470,False
7089243488526.0,3182820095976.0,2023-08-06 09:12:17,28.0,voice_out,CELL_115,,IMEI_695112,False
2827874215569.0,5536602242381.0,2023-04-03 15:28:23,290.0,voice_in,CELL_473,"52.1594,-108.5021",IMEI_279974,False
2701280552524.0,3232463574924.0,2023-08-13 22:57:21,2039.0,voice_out,CELL_149,"-30.0294,42.3704",IMEI_336223,False
3265562871314.0,1172218447318.0,2023-10-13 15:59:46,2488.0,video_out,CELL_816,"-66.1755,32.7345",IMEI_415820,False
8105789143350.0,3298990067262.0,2023-09-03 03:30:27,309.0,,CELL_104,"1.7258,-112.3391",IMEI_195151,False
3513959562711.0,6811683854031.0,2023-04-06 12:38:47,3320.0,video_in,,"3.5187,13.9895",IMEI_455812,False
3564037821435.0,1457326405894.0,2023-06-29 05:42:28,2954.0,voice_in,CELL_660,"-17.1963,161.2190",IMEI_749321,False
2146303845910.0,8016103175377.0,2023-01-21 15:26:49,1429.0,conference,CELL_908,"-43.6988,36.4642",IMEI_926755,False
8456901746107.0,6965689938566.0,2023-05-10 15:54:33,1338.0,video_out,CELL_957,"-25.9854,-110.4440",IMEI_869598,False
5058327702142.0,1765096637703.0,2023-05-19 09:48:45,899.0,,CELL_110,"41.6173,79.4194",IMEI_140869,False
6504950068782.0,5018799769048.0,2023-10-29 10:51:51,599.0,video_in,CELL_747,"-80.7224,-162.7517",IMEI_480008,False
1051902034112.0,2789690037524.0,2023-12-22 18:51:08,761.0,voice_in,CELL_736,"-20.6969,36.8608",IMEI_801331,False
8488779963532.0,2383100859169.0,2023-09-08 13:42:23,304.0,voice_in,CELL_320,"-81.3269,178.1884",IMEI_103783,False
9144237133242.0,1639779552719.0,2023-01-06 08:10:21,1747.0,conference,CELL_946,"0.0791,129.8861",IMEI_797131,False
5695498241461.0,9248816761809.0,2023-01-29 16:08:28,2472.0,video_in,CELL_565,"-71.4996,53.6308",IMEI_266529,False
1854466291372.0,3199185910609.0,2023-03-19 18:07:07,1155.0,conference,CELL_544,"-39.9530,-84.5353",IMEI_547609,False
3213844898601.0,3176537079811.0,2023-12-28 13:11:37,665.0,voice_out,CELL_299,"-80.9602,14.4083",IMEI_800755,False
8573116216068.0,6474123742847.0,2023-07-18 12:01:22,3425.0,video_in,CELL_549,"-40.4306,-178.6630",IMEI_412198,True
5721961840990.0,4780697130005.0,2023-06-09 05:59:47,298.0,voice_out,CELL_124,"-3.9377,98.1108",IMEI_845189,False
4282223934397.0,2016867141860.0,2023-04-20 12:00:49,3390.0,voice_in,CELL_382,"-70.3978,-85.4985",IMEI_419398,False
9798760328146.0,3801763886412.0,2023-05-14 06:30:19,1398.0,voice_out,CELL_156,"43.8676,-45.2934",IMEI_871968,False
1435851492520.0,7026400155869.0,2023-06-16 00:30:57,2483.0,voice_in,CELL_836,"-79.1747,93.4217",IMEI_793482,False
5586097424987.0,4793623049071.0,2023-04-26 11:53:28,2253.0,video_in,,"-62.3532,-33.1925",IMEI_739780,False
4945333690760.0,6016387091077.0,2023-10-23 13:37:19,1087.0,voice_in,CELL_592,"13.6034,-107.4728",IMEI_531635,False
1964557874904.0,5576891526513.0,2023-08-20 17:34:17,1451.0,voice_in,CELL_676,"8.5543,-130.1273",IMEI_179877,False
4249227434706.0,6370300663977.0,2023-07-23 04:45:00,3344.0,video_out,CELL_832,"-60.7100,41.8206",,False
1607012944596.0,7339637265922.0,2023-01-30 21:16:49,1039.0,video_in,CELL_903,"34.8633,-157.1710",IMEI_864316,False
