subscriber_location,call_type,called_party,connection_time,cell_identity,geo_coordinates,b_number,calling_party,caller_id,a_number,callee_id,communication_type,originating_number,terminal_id,is_fraud,call_category,bts_id,start_time,tower_location,billable_seconds,terminating_number,call_start,setup_time,call_length,equipment_id,cell_id,duration,tower_id,service_type,call_duration,location,imei,device_id
,,,,,"28.7092,-32.4055",3681516543206,,,2970466637702,,video_in,,,False,,,,,,,2023-03-03 05:12:41,,,,,2938,CELL_135,,,,IMEI_284302,
,,,,,"-45.1618,11.5098",,,3407095112646,,,conference,,,False,,CELL_945,,,,1399306988273,1690056053,,,,,743,,,,,,IMEI_127753
,,,,,,,4234057049810,,,2514278974310,,,,False,voice_out,,,,,,,1683463164,,IMEI_447325,CELL_156,1000,,,,"25.4261,46.8201",,
"49.1163,105.3097",,,,,,,,6855871794762,,,,,IMEI_278289,False,video_out,,,,,7829689286937,,2023-12-26 00:51:54,,,,,CELL_688,,866,,,
"19.6487,103.3612",,6798453691766,2023-01-30T02:53:11.000Z,CELL_951,,,4604006758836,,,,,,,False,,,,,,,,,,,,323,,conference,,,,IMEI_458367
,video_out,,,,,,1108635678268,,,2743345499420,,,,False,,,2023-03-31T03:10:40.000Z,,,,,,,,CELL_804,3569,,,,,,IMEI_874933
,,,,,,,,,,,,6984540838037,,False,,,,,,4260906813880,,2023-06-01T07:20:39.000Z,,,,,,conference,2483,"13.6616,-151.2510",,IMEI_148929
,,,,,,,,,,3786122778279,,7868028631105,,False,,,,"87.2250,-134.4191",3361,,2023-12-03 08:33:49,,,,,,CELL_862,video_out,,,,IMEI_811943
,,,2023-09-09T23:31:59.000Z,,,,,5543040789341,,2415398083863,voice_in,,,False,,,,"50.7740,140.3241",,,,,,IMEI_357558,,,CELL_171,,1012,,,
"-18.9940,28.6879",,,2023-07-29 03:32:59,CELL_636,,,,8567684364632,,,voice_in,,IMEI_387798,True,,,,,,2838990986149,,,2650,,,,,,,,,
,,1803204107971,,,,,,,5361589113781,,video_out,,,False,,,,,,,2023-10-26 01:09:55,,2222,,CELL_115,,,,,"16.8265,-147.7476",,IMEI_723104
,,,,,,,3012882804937,,,,video_out,,,False,,CELL_926,2023-10-31T05:22:02.000Z,"83.9383,174.9542",,6226957825431,,,,,,322,,,,,IMEI_638147,
,,,,,"-40.8382,115.2144",,,,4415801574377,,,,,False,voice_in,,,,,3405037569685,2023-11-26T22:18:21.000Z,,1846,,,,,,,,IMEI_118849,
,,,,,"26.0513,19.5417",,,,6935859450295,,,,,False,,CELL_869,,,,4926799445599,,31/03/2023 12:30:33,475,,,,,,,,,IMEI_512067
,,3403953550083,,,,,4056805691044,,,,conference,,IMEI_770474,False,,CELL_722,11/06/2023 09:51:33,,,,,,,,,,,,3045,"-31.9355,-15.7096",,
,,9227060879988,,,,,,9287129869237,,,,,IMEI_680697,False,voice_in,,04/23/2023 18:25:37,,,,,,257,,,,,,,"-62.1719,134.0541",,
,,5735765721704,10/08/2023 23:05:11,,,,,,4122495480337,,,,,False,,,,,,,,,,,CELL_702,,,voice_in,1050,"-12.1576,176.6025",,
,,3412743615148,,,,,9738186628743,,,,,,,False,voice_in,,,"-16.8276,-42.7496",3107,,,1673510565,,IMEI_524605,,,CELL_964,,,,,
"7.3312,-39.9786",,,,CELL_899,,2701840134482,,,,,,5589576045517,,False,,,,,,,10/05/2023 23:18:33,,,,,,,video_in,3456,,IMEI_642365,
,,,,,,8232549638667,,8039887761239,,,,,,False,conference,,2023-12-05 21:44:19,,268,,,,,IMEI_888554,,,CELL_956,,,"30.1107,177.3684",,
"37.4583,-129.3294",,,,,,,,,8022336100712,6085527926689,conference,,IMEI_353192,False,,,,,1271,,2023-01-23 00:38:24,,,,,,CELL_454,,,,,
,,,2023-10-23 21:16:29,,,,,,1871990643760,7642115057354,,,,False,,,,,1125,,,,,,,,CELL_879,video_out,,"-71.5990,-114.1442",IMEI_894063,
,,,,,"-61.7687,-78.0537",,1359248940319,,,,,,,False,,,28/12/2023 19:52:44,,,9686471161252,,,,,CELL_495,,,,1377,,IMEI_220466,
,,,,CELL_516,"-29.6661,116.8317",,,2578718029408,,,,,,False,,,,,,2420243729863,,2023-11-15T13:10:10.000Z,,IMEI_965000,,,,voice_out,1663,,,
,,,,,,,,6132284949347,,6225585250953,,,,False,conference,,,,,,30/11/2023 20:34:54,,,,,1830,CELL_714,,,"1.2402,-141.5884",,
,voice_out,,,,"-42.8984,-87.0075",4026543684162,3139257421198,,,,,,,False,,,,,,,1697241756,,,,,,CELL_347,,75,,IMEI_991563,
,,,,,"-19.8309,110.1334",,,2166950240340,,,,,,False,,,,,1285,7865586507606,,05/23/2023 05:47:59,,,,,CELL_463,conference,,,IMEI_799521,
"75.8287,49.3950",,,,,,8666300467709,,,,,,8719182289777,,False,voice_in,,,,,,2023-09-01 02:21:22,,,IMEI_572627,CELL_700,,,,3480,,,
"-57.0023,-14.5988",,,,,,5938356325392,,4468991558957,,,,,,True,,,,,,,08/12/2023 18:27:35,,262,,CELL_349,,,conference,,,,IMEI_180353
"69.3388,48.3553",,8025512756808,06/12/2023 02:41:06,,,,,2061579745310,,,,,IMEI_813046,False,,,,,,,,,,,,,CELL_523,voice_out,2292,,,
"-5.0853,-148.2477",,,,CELL_820,,,,,,7282020997708,,9170821766022,,False,,,2023-11-03T22:28:33.000Z,,,,,,3281,,,,,voice_in,,,,IMEI_840559
,video_in,,,,"-83.0663,34.6891",6925063379290,,,7593752500848,,,,,False,,,,,,,1700873153,,,,,,CELL_435,,55,,,
,,7454801720794,,,,,,,4210658249813,,voice_out,,,False,,,,,,,12/10/2023 06:32:24,,,,,,CELL_305,,3373,"75.1960,-151.5998",IMEI_851670,
,video_in,7499031800615,,,,,,6046487516594,,,,,,False,,,,,,,,11/29/2023 17:42:50,2215,,,,,,,"-34.5435,71.0689",IMEI_497853,
,,6191537045852,,,,,2254127283682,,,,,,IMEI_726147,False,,,2023-09-01 08:33:29,"30.5555,95.7239",3025,,,,,,,,CELL_109,voice_in,,,,
,,,,,,,2179513690979,,,,,,IMEI_452866,False,voice_in,CELL_541,1676878337,,,2861522457108,,,369,,,,,,,,,
,,,,CELL_540,"-63.9668,65.4036",7892664885466,4034349270787,,,,video_in,,,False,,,,,,,2023-06-21 16:46:47,,,,,2425,,,,,IMEI_224417,
,,8576826433512,11/03/2023 20:52:31,,,,,,2513434580805,,conference,,,True,,CELL_423,,,,,,,,,,109,,,,"-26.9027,154.4693",,IMEI_843082
"-76.0354,-24.3573",video_out,,,,,,3570045565070,,,7439033688891,,,IMEI_107215,False,,CELL_148,,,,,25/03/2023 18:46:49,,,,,,,,3431,,,
,,,,CELL_304,,,,,4417025380416,5771525626223,,,IMEI_419657,False,,,2023-06-18 17:57:53,"9.0899,148.0857",,,,,,,,245,,conference,,,,
"63.0198,-69.6302",conference,,,CELL_731,,,,,1258046822395,8036132734752,,,,False,,,,,,,29/07/2023 07:57:19,,,IMEI_529854,,,,,2075,,,
,,4027350965546,,CELL_627,,,2673138194920,,,,,,,False,,,28/11/2023 14:14:06,,2147,,,,,,,,,conference,,"17.4231,-50.1698",,IMEI_241553
,,,,CELL_544,"-73.2524,-128.4292",,,,,,,5484529523978,,False,voice_in,,,,,7952413208249,02/11/2023 19:18:25,,,IMEI_179551,,,,,3314,,,
,,,,,,9370059146746,,3326314781584,,,video_out,,IMEI_676121,False,,,,,1769,,07/06/2023 09:37:16,,,,,,CELL_817,,,"63.4643,48.7219",,
,voice_out,,,,"58.1227,163.6932",,9778249875667,,,6445741414523,,,,False,,,,,,,01/12/2023 04:26:40,,,IMEI_637645,CELL_804,2905,,,,,,
