network_type,device_os,platform,bearer_type,geo_coordinates,is_roaming,phone_number,device_type,user_id,msisdn,event_time,action,os_type,os_version,cell_location,transaction_id,event_name,is_fraud,event_type,event_id,terminal_model,tracking_id,home_network,session_id,service_action,connection_type,timestamp,position,access_technology,subscriber_id,roaming_active,device_model,handset,roaming_status,location,log_time,recorded_at
WiFi,iOS 16,,,,True,,,8895751229451,,,,,,"54.2450,113.0615",,app_launch,False,,,Samsung Galaxy S22,65320dc8-e9ad-44b7-b645-07cdeea077f5,,,,,,,,,,,,,,1703231514,
,,,4G,"31.2602,91.3589",True,,,7447502899693,,2023-10-28 18:32:50,,iOS 15,,,,,False,SIM switch,,,cb64b297-16dc-4ef7-a5e3-b16f5db304c3,,,,,,,,,,Oppo F21,,,,,
,,,,,,,,9352375214527,,13/08/2023 04:05:10,,,iOS 15,,,location_change,False,,82f3a280-59fd-464f-9248-418fdc076839,,,,,,,,,WiFi,,,Vivo V25,,True,"-76.4023,-8.5953",,
4G,,,,,,,Pixel 7,8127257625836,,,,Android 13,,,,,False,,,,,False,a6996973-6431-41c7-8b00-8d672beadd37,power_on,,2023-10-17T23:13:51.000Z,,,,,,,,"39.1362,-104.7381",,
,,,,,,,Oppo F21,,,,,,Android 13,"32.2027,83.6421",,,False,,a214a0be-4d9d-46ab-b0d6-9d7c2dcb15f2,,,6,,,WiFi,,,,9497361957131,,,,,,2023-03-27T12:17:27.000Z,
2G,iOS 15,,,,,,,,2605817292422,,app_launch,,,"-83.3894,-99.1551",,,False,,6f64ba38-e91c-4801-bea2-9e9e1b4a6d07,,,,,,,2023-03-25 02:42:54,,,,,,,True,,,
,,Android 11,4G,,False,3403102134543,Pixel 7,,,,,,,,,app_launch,False,,,,,,2a8f4d93-9866-4ccb-bd1e-212116261913,,,,,,,,,,,"-56.2381,49.9675",,1700991070
5G,,,,,,,,,,,,Android 13,,"51.2451,-104.9303",9d66ed92-63d8-4a97-bf2f-718ce23b6319,,False,,,,,,,app_launch,,,,,3814785005451,True,,Oppo F21,,,19/08/2023 03:06:42,
,,,,,True,,,,,,,Android 12,,,,,False,location_change,,,d90d0af0-620e-4564-be7d-751a68fd2bda,,,,,,"-13.7712,169.7228",5G,2749836570262,,,Pixel 6,,,2023-02-25 21:01:38,
,,,,,,,,5471405569832,,,location_change,iOS 16,,"40.1368,-88.0211",,,False,,,,eeafb105-6b3c-45cb-9855-9bb306ab6f5d,,,,3G,05/16/2023 21:06:49,,,,,,Vivo V25,False,,,
