destination_domain,connection_time,session_duration,bytes_sent,user_id,event_timestamp,msisdn,protocol,server_port,host,port,is_fraud,encrypted_tunnel,url,service_protocol,destination_ip,vpn_usage,is_vpn,customer_id,access_time,remote_ip,upstream_data,domain,server_ip,tx_bytes,rx_bytes,time_spent,timestamp,remote_port,downstream_data,subscriber_id,duration,dest_port,bytes_received,vpn_detected,ip_dst,upload_bytes,download_bytes,transport_protocol,conn_protocol
fileshare.cc,2023-04-30T18:23:57.000Z,,,4844398147930,,,UDP,,,,False,,,,184.214.112.229,False,,,,,,,,3537,,,,,,,1394,53047,44128,,,,,,
,701,,,5010044591513,29/05/2023 02:54:18,,,,,43921,False,,,,,True,,,,,,youtube.com,117.186.83.189,,,,,,,,,,49745,,,4020,,,TCP
,,193,,,,,HTTPS,65375,twitter.com,,False,True,,,,,,,,,2514,,192.219.204.185,,,,16/05/2023 05:05:01,,,3514526621865,,,,,,,89202,,
,2454,,,,,,DNS,35349,,,False,False,,,,,,5633065750027,,77.101.78.191,,youtube.com,,329,,,2023-09-14T06:30:16.000Z,,,,,,,,,,47586,,
,,30,,4537721043548,06/09/2023 14:31:36,,,,,,False,,,,116.61.126.115,,,,,,974,flipkart.com,,,4127,,,,,,,1379,,True,,,,UDP,
,,1895,1245,,,,,,,,False,True,youtube.com,,187.173.55.127,,,,2023-07-30 17:00:13,,,,,,,,,35147,,8448994987743,,,72142,,,,,HTTPS,
,,,,,05/16/2023 16:33:58,,,,,,False,,amazon.in,,,True,,,,,,,188.249.79.97,,69625,,,,,7871884575560,1285,63486,,,,9581,,DNS,
,,,,,16/05/2023 14:24:36,,TCP,,,36897,False,,,,238.37.4.234,,,,,,5728,facebook.com,,,,2073,,,32028,5197532457626,,,,True,,,,,
,06/25/2023 07:24:45,,,4704859533483,,,UDP,,,,False,,,,232.26.47.216,,True,,,,,twitter.com,,,,,,,56067,,1073,,,,,7249,,,
netflix.com,3540,,,7219554139843,,,HTTPS,,,,False,,,,,,True,,,,4075,,,,,,,,,,,48272,91927,,,,,,
twitter.com,1700917368,,,,,,,,,64458,False,,,TCP,8.59.133.91,True,,7177361804376,,,5149,,,,,1416,,,67043,,,,,,,,,,
,2023-12-23T10:45:52.000Z,,,,,,,,,,False,False,netflix.com,,,,,,,,5289,,,,,,,,57964,8079507048708,3219,,,,171.194.89.154,,,,HTTP
,2023-09-01 22:15:20,3525,,5303755717008,,,,,flipkart.com,,False,,,,,False,,,,,,,,,,,,,,,,9672,,,162.99.196.253,1756,28693,,TCP
,,,,,,5877526615983,,,,,False,False,facebook.com,,,,,,24/09/2023 17:38:37,183.146.120.139,,,,,53434,1569,,58526,,,,,,,,3515,,UDP,
,2425,,,,,4858977561465,,,,64273,False,,fileshare.cc,,,,,,,,,,172.207.84.239,454,56189,,1684578125,,,,,,,False,,,,,TCP
,,,,,2023-06-29 08:09:49,,,,fileshare.cc,,False,True,,,,,,,,244.126.102.10,4208,,,,,893,,15634,,1917144821246,,,22002,,,,,,TCP
,,,,1724915898950,,,,,instagram.com,,False,,,HTTP,,,False,,,,,,166.174.6.215,,,,1687874027,6917,,,3395,,96190,,,2516,,,
