caller_id,callee_id,call_start,call_duration,call_type,cell_id,location,imei,is_fraud
882.330.1538x99763,+1-896-697-1225x449,2025-01-07 17:34:40,441,voice_out,life,"-59.53457737281375,-19.73370661239946",ccd256bb-de96-43fa-887f-d8a5aa5f7677,
+1-816-879-1170x224,+1-821-725-2688,2025-04-24 05:51:48,136,voice_out,such,"-24.301112425347597,-37.042990356679155",bd7e31cd-4131-4037-8932-5cc1425e4273,False
8784147504,(491)933-0283,2025-02-16 14:31:59,408,voice_in,up,"80.51091725039214,-24.261121160917355",63820ed2-f7a3-47fd-a7a3-93eeeba16e02,True
541-371-5027,001-536-216-8921x280,2025-04-06 08:05:53,1033,voice_out,whose,"9.590572170259833,-52.97396917728226",a04ddc77-65f0-4d78-b0f1-45f6fa4b1f9a,False
335.318.3308x1135,(723)488-6592x610,2025-01-16 17:22:18,873,voice_out,water,"81.58235546061596,40.51893727465384",cb372bec-c7ba-40c5-8ede-633161ce2634,True
001-459-740-8338x683,911.782.8580,2025-03-21 16:55:49,603,voice_in,amount,"27.17725583478702,132.77243331406777",00f81938-3ec7-4505-9617-35b2bd2270a7,True
813-858-3089,(867)891-6823,2025-02-21 07:56:16,1160,sms_out,notice,"61.423054411710325,-104.80204442486951",1ee87fe3-90a7-4b0a-8fc5-100a85e3410c,False
7436405593,001-738-771-3393,2025-04-20 21:32:34,688,sms_out,and,"24.07573196744076,81.43091046477548",29741817-fc1b-456d-b48e-ee40c743f9e9,
001-482-810-4228x2233,(311)352-3142,2025-04-29 14:10:45,141,voice_in,buy,"20.96829141202626,-24.57683270739085",359ffc58-a18f-4953-9e14-ca6dfc3347a4,
+1-724-634-6087x979,2517674733,2025-03-18 17:01:14,909,sms_in,drop,"-68.95886816616817,58.95644843037266",d8390f1d-8847-450c-a204-41a36b49d23d,
+1-527-654-7632x4918,796.918.6269,2025-03-07 04:53:57,1035,sms_in,majority,"21.38246531586907,-110.14682922072816",0543945d-26ef-4fe0-a1e1-2d4df16c13ee,False
779.977.7447x30916,213.516.7706x7562,2025-02-14 13:55:18,583,voice_out,small,"79.67025778773518,-7.358541930247327",14ce4bd2-40b6-4ad3-a766-b61f01466440,
758.342.4758x87972,526.511.4847,2025-01-26 15:49:32,585,voice_out,middle,"13.79168949502727,-96.80596238846714",8b75865f-4e27-449e-a8e6-50961140e867,True
525.218.6503,883.730.2801,2025-04-24 21:18:54,700,voice_out,kind,"-18.862519760365117,160.24505870830905",c4962380-047c-440c-99f7-d5c9ba646bfc,False
918.896.4867,+1-541-972-3726x602,2025-03-06 13:18:30,483,sms_out,meet,"39.49694058162109,133.67501584240767",84a369e4-2633-4663-9198-78f09e457fe8,False
8392565779,7846811577,2025-02-05 13:14:26,990,sms_in,rather,"89.06791698395725,49.78307204958941",179dc6e8-f9bd-4ed5-8650-06755bc4e8a6,
489-416-0133x82757,915.314.1806x4987,2025-01-23 22:03:07,53,voice_out,rise,"-46.90202665186988,140.57149463721026",8ae8d7d5-10e1-4835-9696-9df98ed69e04,
+1-433-284-7199,689.534.0793x855,2025-04-16 23:26:13,30,voice_out,improve,"-46.27661059483484,71.72393323366015",485e5342-7ad1-4a21-b557-92abe15aab2d,False
(385)504-2382,869.867.5753,2025-02-04 20:57:29,52,sms_out,land,"32.92136811644717,36.83572545412184",16a3c566-0049-419d-a5b8-9fb30fc561b1,False
937.911.8721x369,+1-792-867-8803x37770,2025-04-07 01:52:58,631,sms_out,while,"-80.14857509694652,-110.73626376405483",4692fab6-de61-498f-8ca5-8f42ef27a991,True
734-569-8329x32511,+1-849-626-4658x05975,2025-03-13 07:00:50,807,sms_out,seat,"81.93058058448727,109.6257855589169",67be65e7-7308-4616-b808-578550dc5b5c,False
317-404-8721x8554,(360)717-2715x96603,2025-02-01 03:23:48,158,voice_out,audience,"18.641853771337907,26.372596177614298",58742373-09a8-44e2-8ab4-f0b50bcbb860,False
+1-206-283-9102x7961,001-363-855-0714x5830,2025-03-27 22:57:46,1012,voice_in,create,"-88.41175852094783,-62.96031229111807",415803c6-ebd5-4167-b06a-d19edd25f181,True
(850)984-3667,930.772.5285x44296,2025-01-09 23:38:42,477,voice_out,mind,"73.80568702715206,0.05328555207452723",5d208cf2-7577-45f1-848d-45dd0afd474f,
+1-594-223-4434,954-913-2053x4454,2025-04-23 21:45:11,804,voice_in,sing,"-49.37664015479324,134.95954265944857",fbf9d9a3-fd2e-433a-9c76-11807bcd519a,False
952-231-2459,+1-785-859-8429x53428,2025-03-04 07:54:11,759,voice_in,onto,"-10.921174947860322,-0.0247063999671866",73fbdd77-be5f-4527-a412-5c38a913f7e3,
8694615283,001-236-637-4112x021,2025-02-22 04:30:56,899,sms_out,address,"8.93663802634289,11.293698329506384",c5039528-ef35-4db1-9f5e-c63b2705bf7e,True
(435)972-9080,001-509-405-0328x980,2025-04-29 04:37:07,554,voice_out,room,"23.637835606250775,54.60449659441588",81264de3-a66d-47c7-8fc7-2f121f72a68d,True
+1-383-557-2257x47164,325.787.0627,2025-04-20 15:55:37,16,voice_in,away,"38.57781725204231,4.4843142541304815",c292abb1-49c9-4f1f-ab5c-8828728a83b7,False
3038329736,+1-752-347-4926,2025-03-01 18:00:30,507,voice_in,clearly,"-9.304444072342633,-81.73636999820945",ff539ce5-f768-4f37-8c58-64fbadce81e1,
(786)362-7317x73780,982.242.7263x724,2025-01-20 22:20:57,1199,voice_out,community,"-75.92617978541556,-22.981743122538347",fac4a53f-cc4a-493a-815f-0eda66c0cf3a,True
8483516200,3519996479,2025-01-03 21:19:03,1150,voice_in,whole,"30.703243326064225,141.68712198849875",36ff09ff-e69d-4ee1-a28b-1557559d54d6,False
953-687-5574x882,4489432589,2025-04-23 01:21:54,295,sms_in,quite,"26.938226254715758,79.45663163392925",06460368-f818-4fb7-a75f-7c084aebb6b5,
(903)495-6859x41270,+1-577-873-5284x660,2025-02-09 20:48:10,69,voice_out,strategy,"29.98936809518554,157.47418412509467",b58b2b8c-764a-44dc-b994-066de56000c6,True
604-579-8342,592-246-0672x02575,2025-01-28 08:37:20,374,voice_out,project,"89.34789171110933,85.21195361454647",c8d92993-8c4e-4043-a5e5-1502231f2d2b,
542-710-8448x25023,203-501-5051x80162,2025-04-15 20:52:34,961,sms_out,wear,"68.05554729780138,-149.80708992563726",9d4067a7-7ca2-4961-9eb3-4ee5446819e1,True
(628)958-9480,+1-745-784-6026x93251,2025-04-03 22:10:34,1034,voice_out,grow,"-19.42128945493495,51.20985704293574",11c1c260-aa74-462e-9f4d-a78d1d1e2b79,False
001-423-564-6452,373.474.8488x37649,2025-01-07 04:23:24,564,voice_in,effect,"51.297167904313966,6.68237426893964",dee961a8-d5e3-46f9-9d20-c68ac54fe297,False
710-613-8943,643.773.8576,2025-01-19 01:50:33,382,voice_out,he,"70.75566341943838,-33.50306901874285",7bad7da2-bd4e-4c80-b769-d0e0e2b1a16d,
305.396.8591,526-338-7012x75623,2025-04-20 04:57:52,1166,voice_in,value,"46.63261082413183,131.22367813764902",459eb3f7-8582-46eb-b6f6-4542bc866eb1,False
581-910-3189x6600,357.715.5335,2025-01-05 12:55:45,267,voice_in,laugh,"-24.340210576862972,97.03268597641426",b3285f7f-48c6-42be-a5fc-98e0d5af056e,False
(816)604-6688,8235029344,2025-03-27 06:49:44,567,sms_in,ahead,"-30.456402619378437,-97.18606245921171",d8e25556-67ab-4e98-a72b-d19fa6ba18d7,False
001-372-479-7919x0023,(885)981-0060,2025-01-27 11:03:00,939,voice_out,nearly,"2.1635421316782555,-95.86100343872485",76f4ff38-5cdc-44f4-94dd-41d513c34a41,False
785-730-7515x01237,587-620-5169x744,2025-03-21 07:54:48,764,voice_in,each,"30.571798674421615,99.7363379932113",bb2a7446-497c-417b-8c20-1141bb3dde2f,True
+1-681-499-5542,992.818.9210x56503,2025-02-28 23:26:53,63,voice_in,different,"-84.40525003759497,-40.911734447579335",f792c95a-71e7-4454-be4f-7ce841136a5c,False
270-685-2221x1821,842.237.1854,2025-01-09 01:52:27,628,voice_in,time,"-23.39652924500578,25.54922954905055",4624d743-f21d-44b9-b58c-e3f47a0a4d6b,True
5884371344,+1-774-576-9178x105,2025-03-18 21:12:12,647,sms_in,experience,"56.46144165724351,159.80828800105957",a79d6579-4667-49cc-9edf-741cc890422d,False
576-278-3753x89544,+1-776-803-5172x00031,2025-03-28 10:45:59,1028,sms_in,ground,"-34.69666861820856,-98.31912181809864",991dadbb-97d3-4175-90fe-1768978f0ae9,True
(938)200-9362x7899,001-336-501-4209x64665,2025-03-13 23:18:03,545,voice_in,light,"-59.651191218833446,115.10364456722073",47efba46-b350-4b86-8b61-23647905dcfa,
649-215-1785x3734,(781)642-6202,2025-01-15 04:34:44,707,sms_in,page,"-24.582172210649347,-177.8683493311958",3a422c21-c94b-420a-bb22-651872fb53aa,False
+1-829-729-2822x8161,728-372-4543,2025-02-14 21:38:58,910,sms_in,create,"71.7046644317119,-74.00310121482005",af6f1957-23f1-4d48-81b2-7d409fe7721f,
4639256114,850.471.1437,2025-03-14 16:27:01,500,sms_out,defense,"26.03838150640283,-52.53401384225489",05f6a364-faeb-4fa9-9a8f-12066920c06c,True
612.586.6135,+1-273-926-8410x33552,2025-02-05 22:23:47,427,sms_out,discuss,"-36.71751017630336,-85.17180396384195",c96669aa-ff25-4adf-b4fa-ddbede2aeac1,True
7863351506,289.529.6635x56654,2025-03-20 00:44:28,164,sms_in,star,"19.102741752174524,-175.85836723723492",29bc5bcc-34e7-41ce-8533-043df1f4b3d2,False
+1-216-717-3954x22694,757.262.7829x228,2025-03-14 06:16:51,565,voice_in,news,"43.06027496523993,-96.48821210997464",05087201-ef15-4cc5-a919-02e738951be8,
493.752.2269x41988,4334649896,2025-03-09 05:54:46,408,sms_out,benefit,"-10.94105231569911,103.44455961169285",9e269f81-5a03-40a5-aab8-b1538fe8a81f,True
(777)957-7788x441,(373)242-6506,2025-04-11 14:52:28,963,sms_in,more,"81.33318693687366,7.959667614070042",39fc0749-7a89-4a12-b2ba-9ce82d26cee5,
(563)593-5150,(479)461-8203x9193,2025-04-15 05:34:06,1005,sms_in,certainly,"-40.38914742192566,-63.99994061980233",0421f44a-342b-4df2-9877-466e961c91c2,
698.726.2831x075,610-508-2621x6636,2025-04-19 12:03:18,823,sms_in,sell,"-51.92640618767494,71.28407216985048",b86dd2ed-a5c9-4cd1-a4e1-fc0c598d276e,False
+1-770-531-8379x661,(300)344-5965x32630,2025-02-18 12:46:05,56,voice_in,as,"-58.24265120409011,-112.6527239932776",0dcdfc45-92c2-4267-aed5-f0ac84d6a925,
8534905448,329-305-1675,2025-02-22 19:41:28,532,voice_out,should,"-76.65968789174651,81.33870933451732",1ebf6300-5d43-48e0-a950-930468b5fb7e,
+1-853-398-8727x43323,(959)765-3404x390,2025-02-23 01:34:12,1129,voice_in,floor,"29.80486265711545,-149.8505690033608",e6ef2a70-f5a7-455f-bce4-4283ca36aeba,
849-606-4358,747-412-3274x51266,2025-03-12 21:56:00,883,sms_in,capital,"-80.16638720022125,117.72441424455604",a64ce916-3b2a-4e0c-80ef-73f1fbeefac5,True
+1-308-400-3931,+1-850-476-8022,2025-02-25 17:30:26,657,voice_out,draw,"-2.8924049310167987,14.379639276107042",faba7801-72f1-4b31-aeb7-84b43563fd61,True
(829)392-0061x68755,001-232-777-6955,2025-02-02 22:26:02,441,sms_in,ready,"22.209113923428944,125.29159300150712",f349c6e2-31db-4424-850f-e8cc2803f801,
(925)677-2078x73022,680.576.3614x768,2025-04-22 22:44:41,127,voice_in,beyond,"-37.4482062711032,176.03725026029446",15c28b67-9350-4e62-a406-d1cbff5a190d,False
875.838.4460x3043,(487)891-4616x5735,2025-03-22 16:43:59,1020,sms_in,strategy,"41.2624611259607,-119.71195900987772",ce3dd506-5ba8-4a76-8463-905f4eaba160,False
(376)435-5423x17584,(594)203-4397,2025-03-25 13:32:09,20,sms_out,reach,"49.27121896472303,-82.56573399570603",5ee12a26-a36d-4201-a458-014f2dc1bf1c,False
(773)899-0658,(761)407-3139,2025-04-09 08:50:40,1099,sms_out,person,"67.70290134132892,154.27793752031835",49dab9e6-79b9-4dbc-9df7-5aa34dfa858a,False
438.704.0375,7317253876,2025-03-30 14:00:21,832,sms_in,run,"21.972042831662776,71.78867561533025",43a77cd2-f756-4c2c-8412-f5961a694232,False
001-445-453-3226,001-747-851-6638,2025-03-04 02:22:30,641,sms_out,main,"30.762378853043344,112.48378592440986",68805b76-8ef8-4a14-99b3-df9186792a45,
001-752-250-2032x7917,001-937-294-9357x95264,2025-04-02 04:46:27,418,sms_in,result,"-4.3626211675984905,-109.1100925317169",1633ebad-82b4-425c-9080-a1177c132c86,
312-372-1544,900-645-2607x3017,2025-04-21 07:53:15,152,voice_in,feeling,"43.1545039505186,-171.0441560896331",442f2a13-105d-4af1-b8eb-e1f94cd2c318,False
001-782-423-2709x7868,(698)964-1475x390,2025-02-04 17:56:21,1152,voice_out,cut,"15.168639494038857,25.958909543635684",480a7cf2-cc36-434d-8979-a860b9b5a738,True
704.246.2962x237,277-349-3468x7751,2025-04-14 23:37:29,69,sms_in,without,"-34.073779626154334,-62.632103181385844",015e65a1-0046-4042-8b08-7381db85167a,
219-229-0122,821-822-4335,2025-01-14 05:14:17,1002,voice_out,third,"-39.95376887409054,-67.47583161317576",403856be-bd05-40f8-8e47-87575b016567,False
970.432.6888,+1-796-278-1090x2205,2025-03-07 03:25:43,194,voice_in,charge,"6.0004671768107585,-87.53230425753647",1e62ca6e-358e-42c9-bcc6-026e8c1b68b9,True
839-782-1971x54296,+1-994-297-7287x6245,2025-04-20 01:30:03,768,sms_out,few,"-35.52551382346867,-110.88898773535934",5bfb3754-3304-4d3e-ac2e-8a2d0ea6c06f,True
001-314-505-1853x29814,(306)800-3230x5899,2025-01-24 16:28:42,541,voice_out,say,"73.10556177593392,167.9734685296246",2d1aa8fe-e748-4782-a769-337dca7d3bab,False
001-361-849-7931x6654,(999)330-0578,2025-01-31 14:29:22,149,voice_out,do,"76.19001701487397,-80.28372705633163",85086c28-3604-4b7e-8204-17ae5e7d083d,
959.384.4447,001-995-771-2259x8330,2025-03-29 12:46:20,683,sms_out,floor,"86.82361917065535,150.52307142493208",c461a53f-17fa-4084-9140-f57f148291a3,
(833)573-8664x9062,+1-387-778-1591x60462,2025-01-28 02:35:42,371,voice_in,project,"54.16256283079488,-146.45596252847983",067d9b90-b6d6-4975-a136-3ad027cf95ff,
+1-504-636-8088,001-538-426-0005x943,2025-03-11 04:19:25,615,sms_out,may,"-36.48639309954957,-68.2081562713308",c98a7d1f-e5ec-480b-93a2-16f79f8fd572,False
581.759.6074,(307)721-3738,2025-03-20 19:48:52,666,sms_out,sort,"59.641774548445085,44.68400967268826",14881d97-991c-4d27-b060-4d0dec0b8ac4,
+1-418-893-2999,+1-351-500-2701x92572,2025-02-20 13:37:35,405,sms_in,change,"-7.878878637128182,116.63146368283918",926de3c9-04a7-4523-b381-d40cb7f1939f,
458.994.8399,001-258-654-1645x5468,2025-01-17 13:19:45,256,sms_in,trial,"-44.736446521945986,-19.83055143348841",60d4b4f8-5b94-43d9-8674-16b448ba4b6e,False
+1-621-319-5512x723,481-906-4357x556,2025-03-04 07:33:56,748,voice_in,fear,"5.263497711671661,-28.86812335750102",7fbdbaf7-c908-4dd2-ad79-5987d169a7c4,
