event_id,user_id,device_model,os_type,roaming_status,network_type,event_time,location,event_type,is_fraud,extra_column
536e59ab-fa24-4f71-9083-c048786f01f0,(216)297-9876x5697,executive,off,False,WiFi,2025-02-18 10:43:40,"18.100866440898955,-47.501202364079575",SIM switch,,
9e5a5b05-b7da-4da9-8e5f-23c520006228,(422)360-3474x0964,baby,heavy,False,5G,2025-02-15 21:25:03,"-16.9891107332011,-73.08321706192213",SIM switch,False,
142eebed-a619-47ba-8799-336bc57c4167,+1-574-200-3581x77751,participant,because,True,5G,2025-01-20 17:50:52,"63.66062025328125,144.51975456203172",SIM switch,False,
1fab02ab-7744-4897-8cf4-20fa1693ece3,5935557612,foreign,the,False,5G,2025-04-09 01:05:10,"-15.217189956314243,121.24716481453498",SIM switch,False,
b8405a85-1a53-421d-9076-8a6d292fa498,823-747-4948,traditional,line,False,LTE,2025-02-11 09:39:42,"68.8668853124131,33.13660580151634",reboot,True,
3c199ce5-b450-4a46-ac73-e4a2c510d5d3,(725)721-8774,relate,fact,True,5G,2025-03-18 00:02:48,"-40.8125392364721,-144.19195356247903",reboot,,
74137207-6cd6-4419-beb5-1e124e7cea9a,(935)678-0271,third,accept,False,WiFi,2025-01-27 06:40:25,"-7.866598949892335,55.41948634051718",reboot,False,
d1970d7d-7e14-4bd5-adb0-ed4066c83041,001-316-772-2116x83908,media,whom,False,5G,2025-02-20 16:16:27,"5.468548826032006,47.51655861415739",SIM switch,,
8a97ff5d-9df6-4d80-a50a-3a21f742d0a4,+1-957-288-4566x043,where,its,True,5G,2025-02-03 05:37:13,"25.32309077969927,117.6963895004667",SIM switch,,
0cdf2b3e-8798-4448-89e1-5f4a41f8181c,(616)307-1593x36642,begin,then,True,LTE,2025-03-06 13:17:11,"80.77194443863391,61.46054138087533",SIM switch,,
baee6c5f-d0b1-4b88-97c4-ffc7ca8eac94,(825)881-1972x441,total,easy,True,LTE,2025-03-11 00:20:17,"59.664020779072644,107.92885132253599",reboot,True,
a00d1ad8-bdda-4498-ade1-c0e5d7d6c5bc,317.577.3157,image,strong,False,LTE,2025-02-20 21:25:36,"74.28659482681692,162.24785220854244",reboot,,
f3232e16-7faf-40b8-9fab-355fd2750c53,+1-379-727-5616x75263,much,thought,False,5G,2025-03-17 00:07:13,"-35.032682046987716,-174.5054798659806",SIM switch,,
90dd2bfa-f344-4f54-b396-337f20c4f60d,4868890177,social,myself,True,WiFi,2025-03-25 07:03:55,"-28.764669904280318,101.13818263975998",SIM switch,False,
c9d9baed-1f95-4a1b-96eb-5127bfbee013,(427)892-4889,every,during,False,5G,2025-01-09 20:42:28,"46.54115852766131,-146.17588079442106",SIM switch,,
cafbd4c9-02df-4549-a96e-8b0b65cb4153,780-418-8225x0196,word,manager,True,WiFi,2025-01-16 03:53:17,"66.88834110492235,138.6445167050515",reboot,,
3bdf20d6-177c-4942-9c29-7c6536db6dcc,+1-261-734-5566,purpose,build,True,LTE,2025-02-09 11:04:05,"-66.1321658814804,-73.27654698776452",reboot,True,
f49c31ba-dccf-4b03-bbd6-8dee21ce4113,481-305-6917x79690,focus,soon,False,WiFi,2025-04-11 00:29:53,"-79.29872086930928,140.6429288125472",SIM switch,,
5764c843-29d1-4d81-a0b3-39666f1b2f49,001-627-935-8191x14881,important,line,True,WiFi,2025-01-06 14:45:59,"45.98230939022184,107.93621815033663",reboot,,
39a1547e-5815-4318-be33-48638cf82b63,001-500-600-3620,soldier,someone,False,LTE,2025-01-24 22:19:49,"81.98375680355892,81.02136738773885",reboot,True,
e94fb92b-2174-4ca6-b0ee-5409e72e1c84,001-668-596-3663x9054,prove,care,True,5G,2025-02-09 20:34:19,"65.67546332823477,70.15084183058954",SIM switch,True,
bef4629b-345e-4d24-8557-308bd5ad0a6c,(988)588-0444x190,walk,represent,False,5G,2025-02-14 03:01:03,"-15.251717941650156,87.78744796221156",SIM switch,True,
a54b4d02-b652-4e1a-bc0e-90ca3d03b2b5,5084095295,hope,foot,False,WiFi,2025-02-23 19:34:05,"-33.54319637901699,-24.15820539038117",reboot,True,
ca99e413-870e-4ae6-8858-3cfab73d3aeb,571-914-4195x20697,next,site,False,WiFi,2025-01-14 08:25:35,"51.31982699642194,133.38093627990872",SIM switch,True,
a1030c77-861c-4a37-8ce8-d346fc28ee22,(314)255-8057,human,office,False,5G,2025-02-17 13:56:28,"58.62037059915073,147.85524865675342",reboot,,
f34e95a8-ec9e-4af4-938a-eeeaee2ecf07,8432384682,machine,sort,False,LTE,2025-03-23 00:30:23,"14.335236294563046,165.77059975958576",SIM switch,True,
4deb48f7-99bb-4de5-b9cc-7d25803f586a,952.243.9198,prevent,partner,False,WiFi,2025-04-27 21:29:57,"13.279421325294592,-83.20397375107206",reboot,False,
9fe0a117-5f4a-464f-be39-f55f9dbef307,(822)478-1236,situation,medical,False,5G,2025-02-16 23:18:01,"72.68715234563516,-13.356033320632491",SIM switch,,
545f1eaf-25d5-4800-ab6d-958a5bcfb2f7,315-786-6175,them,blue,True,5G,2025-01-24 14:04:08,"36.9331145499919,108.48643109001415",reboot,False,
553a50f7-c09c-43c9-a909-41137253d908,+1-754-995-9658x3684,step,understand,True,LTE,2025-03-01 22:29:58,"6.0284228736530565,111.9104406823775",SIM switch,False,
ab001d87-49d4-437c-8bb4-2db446f4b950,001-649-866-6348x3084,room,sign,False,LTE,2025-04-11 00:31:12,"0.3747227833469111,70.02045030561177",reboot,False,
6879e1e4-f809-4420-956c-463f8e925cd3,(989)735-5754x101,wind,government,True,5G,2025-03-07 20:34:39,"-24.24116985479388,19.30552177784938",reboot,True,
3ab6b3b4-7855-48b3-8b9d-c1cb52339faf,903.896.4149,score,choose,False,LTE,2025-03-20 08:46:34,"9.214748244112826,-163.24605033519236",reboot,False,
39469e3d-3320-46b9-8b92-1a33a09e43cb,(543)462-8739x12742,to,full,False,WiFi,2025-02-06 17:44:41,"-12.77234527612353,-109.91635039221917",reboot,False,
3a4a0505-f1d5-4441-973c-9f2bc2a5e78c,(438)702-1898,these,anything,True,WiFi,2025-02-17 08:07:53,"-28.864749510109185,-57.07266632071392",SIM switch,,
df5143df-53ef-43ba-8bf9-22ff9a4da46a,645.464.1035x74985,protect,total,False,WiFi,2025-03-25 04:15:30,"75.22311718239547,64.67758849736737",reboot,True,
6f168d5c-6a8c-434e-984c-ff5262079eb3,400-976-6334x099,so,each,True,5G,2025-01-04 15:17:38,"0.5887913517780561,-148.2763434527756",SIM switch,,
9a7efda9-f90b-46e1-be88-35b66e4d72d1,001-687-660-1336x3081,attorney,build,False,WiFi,2025-04-21 05:32:51,"66.9153764699366,-0.796728583644807",reboot,False,
c9528b0d-60ac-44ec-bf2a-51c8e4aba160,838-394-2069x3943,require,foreign,False,LTE,2025-04-01 07:29:44,"47.72058496752604,5.262909740210915",SIM switch,False,
a8b66937-169c-4be3-bfd0-2cf57f6fff79,001-217-212-5164x68884,pass,more,True,WiFi,2025-03-26 00:17:14,"-78.76371874051338,-25.578021681181667",SIM switch,True,
8116cde6-ccee-4719-aac3-646b54f43971,001-937-293-4583x7314,start,decade,True,WiFi,2025-01-13 09:03:38,"-71.94059299246385,-113.32348963563692",SIM switch,False,
994ad8ea-c4ee-4f0b-b36e-eb25d45a3d88,001-501-242-7872x0433,floor,camera,True,5G,2025-02-06 04:52:51,"-7.648760702033641,-40.18091977545032",SIM switch,False,
7c0286ba-acb4-48ae-bb5d-76a3752f9d05,(738)731-0657x10663,ten,produce,False,WiFi,2025-02-17 11:54:24,"49.184638084382954,156.51043591522108",reboot,,
e57ff02b-8bf5-4adb-a686-e70aed12aeb7,001-751-594-6786x3826,police,some,True,5G,2025-03-31 02:50:17,"27.825265162537377,-60.749625130850546",SIM switch,False,
ab499f9f-91ea-4670-9a0a-b1ef6c4b4c09,903.698.7573,born,ok,False,WiFi,2025-02-14 00:26:11,"83.53863501839629,-24.815795811655306",SIM switch,True,
5de0c807-6f9f-4045-bdd6-88f9c9575fdc,258-846-5007,someone,first,True,5G,2025-03-30 00:19:40,"70.07949308722323,-66.14764826785984",SIM switch,False,
96ff95bf-c373-4b99-b326-2a4a8c27c9f0,7214249221,teacher,challenge,False,LTE,2025-03-22 13:18:30,"-35.753796261495275,85.6606914283924",reboot,,
947da1b4-04ff-488e-bd09-f4d93225fbf1,368.592.7150x7138,easy,traditional,True,WiFi,2025-02-22 03:40:14,"74.83516407984158,-176.81328278238033",SIM switch,False,
86c5dec1-2482-4263-a49a-ecca0f85666a,(350)322-9095x8789,watch,character,True,LTE,2025-03-27 17:33:19,"0.9088120595865234,56.65128000679417",SIM switch,False,
2ec0cc38-0148-4439-b2a8-c9db895818ff,9538096554,traditional,treatment,True,5G,2025-01-30 01:37:44,"-89.78969680537153,-88.13904187135414",reboot,False,
72b086b4-3aba-435c-be16-8af1b4b9e9b2,632.535.3442x1982,event,travel,True,5G,2025-01-01 06:46:52,"89.46630167002343,145.78696252222795",reboot,,
ebc5afc7-cb71-456d-ab0f-d316d3cbb09d,972.406.7917x263,medical,treatment,True,LTE,2025-01-22 22:08:58,"46.82735163951489,55.30460452555397",SIM switch,False,
041fc550-4723-469d-b1cf-019f7877f221,(733)937-6360x767,movie,with,True,WiFi,2025-04-21 03:43:39,"-76.39213059872104,77.18071158039493",SIM switch,,
065d5e0d-3648-4742-a417-7eec257cffac,237-961-3150x452,style,cost,False,5G,2025-01-13 19:13:33,"-5.69887512759567,-15.694838977501519",reboot,True,
949aa688-2988-4eb4-b04a-1457269db1af,697.245.3999,business,success,True,5G,2025-02-06 05:59:37,"75.1735917924589,-159.34676465319282",reboot,False,
