user_id,timestamp,domain,ip_dst,port,protocol,duration,bytes_sent,bytes_received,vpn_usage,is_fraud,extra_column
(308)309-2874,2025-04-23 21:02:34,pruitt.info,37.50.58.114,65084,TCP,1498,1876,4975,True,True,
+1-426-322-8053x07965,2025-01-08 11:08:50,miller-little.org,161.181.202.77,32562,TCP,2050,954,3800,False,False,
(661)826-0118,2025-04-21 23:41:08,baker-pena.org,1.231.71.125,26070,UDP,3016,127,4466,False,False,
001-550-383-9646x87723,2025-02-27 05:35:50,foster.org,169.58.5.230,37101,TCP,2858,3891,3185,False,False,
8583455444,2025-01-10 09:23:12,guzman-marshall.info,167.23.113.32,33896,UDP,2806,2893,4617,False,True,
+1-877-390-7878x34621,2025-04-14 08:22:11,johnson-fox.com,113.71.143.73,30918,TCP,1545,1539,3811,False,True,
636-832-0673x659,2025-04-27 02:26:02,scott.com,130.184.207.105,14126,UDP,470,3016,1393,True,True,
7064655751,2025-03-14 17:15:04,underwood.com,50.10.194.197,29547,TCP,2837,1696,4305,True,False,
(764)587-7939x93488,2025-04-06 02:55:50,johnson.com,166.102.68.82,13793,UDP,1987,897,4925,False,True,
2586599634,2025-03-09 00:02:19,taylor-reyes.com,72.36.75.239,28664,UDP,1129,421,420,False,True,
001-456-842-9228,2025-02-03 23:55:19,sutton.info,129.222.186.115,9608,UDP,864,4109,449,True,,
+1-606-787-4233x11134,2025-01-24 11:25:21,little.com,159.44.32.119,45062,TCP,2278,2380,1497,False,,
001-479-642-8620x96340,2025-03-27 19:05:59,hill.info,176.206.226.10,39584,UDP,3310,4362,1362,True,,
567-991-6104x675,2025-04-26 06:37:43,wilson.com,78.204.232.79,34991,UDP,1042,859,3177,False,True,
695.944.4099,2025-02-21 20:26:53,fernandez.org,222.245.131.234,6152,UDP,1937,3442,3477,True,True,
879-746-7655x3965,2025-03-22 12:41:56,taylor.biz,188.227.205.93,8243,TCP,1844,3918,3267,False,True,
001-759-388-5541,2025-04-03 09:34:07,fisher.info,113.171.37.235,59019,TCP,3375,1223,4480,True,True,
747-467-6252x65152,2025-04-28 07:20:12,parker.com,79.45.253.146,15266,UDP,2588,4476,3130,False,True,
846-453-5067x211,2025-02-15 08:03:04,benton-jennings.info,222.203.210.247,61817,UDP,686,4711,3815,True,False,
952.904.6327x805,2025-03-11 05:45:17,cummings.com,26.42.185.149,19678,TCP,2762,2437,3296,True,False,
001-378-342-6030x35286,2025-03-23 02:30:36,young-gamble.com,129.119.23.243,59338,TCP,1059,1915,505,True,,
+1-626-391-2856x5175,2025-04-04 04:25:56,le.com,213.132.29.38,48128,UDP,1311,2450,488,True,False,
(489)229-3404,2025-01-05 19:35:41,cabrera.com,146.199.62.105,9412,TCP,3119,4126,1606,True,True,
943.711.2209,2025-03-25 06:56:04,williams.com,159.215.226.254,10623,TCP,2280,996,1917,True,False,
+1-555-277-0656x815,2025-02-04 04:04:03,powell.com,59.224.187.201,41161,UDP,2580,1972,2811,True,True,
611-445-5932,2025-02-15 16:14:10,taylor-king.net,18.137.0.37,46827,UDP,421,356,1243,False,False,
574-438-5199,2025-02-17 08:56:05,miller.com,82.134.171.222,2408,UDP,2699,4874,4510,False,False,
(495)219-6309,2025-02-02 20:29:59,foster.com,146.24.229.231,43234,UDP,1304,3063,4874,True,True,
+1-382-641-5564,2025-01-12 14:00:12,rivera-jones.biz,209.117.143.218,54562,TCP,3450,1584,3136,True,,
001-666-392-7476x9268,2025-02-12 03:55:13,snyder-morrow.com,135.45.92.49,7858,TCP,111,1542,4107,True,True,
718-418-6593x81240,2025-04-14 14:25:50,kerr.net,89.3.9.138,51744,UDP,1707,3961,2158,True,False,
733.401.3638,2025-01-03 00:01:26,wilson-davis.com,26.156.145.197,17380,UDP,504,1371,1165,False,,
911.365.3077x345,2025-03-15 20:26:46,murphy.com,58.15.106.227,58028,TCP,1096,3632,2438,False,False,
+1-760-950-6233x6685,2025-03-21 12:19:47,vang.com,161.154.106.121,1821,UDP,688,3555,4363,False,True,
4143632582,2025-04-24 04:14:40,mcgee.com,198.202.112.51,31494,TCP,277,172,3281,False,False,
565-795-4041,2025-01-28 20:10:56,molina.com,55.132.211.152,31540,UDP,122,3633,4273,False,,
767.451.0777x5164,2025-04-05 13:47:01,perry.org,118.78.147.207,40066,TCP,698,4216,2235,False,False,
3008606176,2025-03-28 19:49:59,smith.net,209.58.213.197,59904,UDP,3113,997,2836,True,False,
642-422-6301x1525,2025-03-24 04:20:27,benson.net,136.157.38.48,49977,TCP,795,4048,818,False,,
931.584.4963x599,2025-04-29 03:07:53,brown.com,180.3.227.229,7697,TCP,3219,432,3397,False,,
4456610919,2025-03-02 12:51:59,morales-herman.com,136.218.96.42,25256,UDP,2685,3211,4987,True,,
788-376-7242,2025-01-29 22:08:30,rose.net,20.152.221.241,18535,UDP,1099,660,175,False,False,
+1-757-238-2412,2025-04-05 17:32:07,williams.com,59.55.183.70,19734,TCP,1050,1021,3997,False,,
(963)966-3906,2025-04-17 04:43:47,freeman-sanders.com,36.37.79.196,64047,UDP,1538,2693,4273,False,False,
+1-325-860-3791,2025-01-17 19:44:10,lucas-andrews.com,195.14.186.159,60075,UDP,1764,4902,755,False,True,
001-974-718-8257x561,2025-02-24 20:38:12,watts.org,8.237.0.254,26762,UDP,306,3175,2886,False,False,
001-775-810-2746x52227,2025-04-08 23:20:34,lee.com,51.15.100.29,31091,UDP,2629,1793,2925,True,False,
894.932.2549x84302,2025-03-01 03:12:37,lee.com,180.95.186.199,38243,UDP,2044,2988,778,False,False,
+1-256-797-0947,2025-02-23 11:01:35,duke.com,94.214.171.51,58531,UDP,1716,2071,4497,True,,
+1-391-914-7265,2025-02-20 11:08:17,brown.net,88.162.248.201,22606,UDP,160,2219,2702,False,False,
805.262.7354x77216,2025-03-29 20:49:37,moore.com,83.189.254.132,1070,TCP,2130,1519,2212,True,True,
641-455-7129x5363,2025-02-22 00:32:16,green-williams.com,194.64.244.45,4404,TCP,2835,3954,1876,False,False,
