communication_type,call_type,call_length,geo_coordinates,setup_time,call_duration,tower_location,bts_id,call_category,start_time,callee_id,tower_id,called_party,imei,a_number,terminating_number,equipment_id,cell_id,originating_number,b_number,subscriber_location,terminal_id,location,duration,cell_identity,caller_id,device_id,is_fraud,calling_party,connection_time,call_start,service_type,billable_seconds
video_in,,,"28.7092,-32.4055",,,,,,,,CELL_135,,IMEI_284302,2970466637702,,,,,3681516543206,,,,2938,,,,False,,,2023-03-03 05:12:41,,
conference,,,"-45.1618,11.5098",,,,CELL_945,,,,,,,,1399306988273,,,,,,,,743,,3407095112646,IMEI_127753,False,,,1690056053,,
,,,,1683463164,,,,voice_out,,2514278974310,,,,,,IMEI_447325,CELL_156,,,,,"25.4261,46.8201",1000,,,,False,4234057049810,,,,
,,,,2023-12-26 00:51:54,866,,,video_out,,,CELL_688,,,,7829689286937,,,,,"49.1163,105.3097",IMEI_278289,,,,6855871794762,,False,,,,,
,,,,,,,,,,,,6798453691766,,,,,,,,"19.6487,103.3612",,,323,CELL_951,,IMEI_458367,False,4604006758836,2023-01-30T02:53:11.000Z,,conference,
,video_out,,,,,,,,2023-03-31T03:10:40.000Z,2743345499420,,,,,,,CELL_804,,,,,,3569,,,IMEI_874933,False,1108635678268,,,,
,,,,2023-06-01T07:20:39.000Z,2483,,,,,,,,,,4260906813880,,,6984540838037,,,,"13.6616,-151.2510",,,,IMEI_148929,False,,,,conference,
,,,,,,"87.2250,-134.4191",,,,3786122778279,CELL_862,,,,,,,7868028631105,,,,,,,,IMEI_811943,False,,,2023-12-03 08:33:49,video_out,3361
voice_in,,,,,1012,"50.7740,140.3241",,,,2415398083863,CELL_171,,,,,IMEI_357558,,,,,,,,,5543040789341,,False,,2023-09-09T23:31:59.000Z,,,
voice_in,,2650,,,,,,,,,,,,,2838990986149,,,,,"-18.9940,28.6879",IMEI_387798,,,CELL_636,8567684364632,,True,,2023-07-29 03:32:59,,,
video_out,,2222,,,,,,,,,,1803204107971,,5361589113781,,,CELL_115,,,,,"16.8265,-147.7476",,,,IMEI_723104,False,,,2023-10-26 01:09:55,,
video_out,,,,,,"83.9383,174.9542",CELL_926,,2023-10-31T05:22:02.000Z,,,,IMEI_638147,,6226957825431,,,,,,,,322,,,,False,3012882804937,,,,
,,1846,"-40.8382,115.2144",,,,,voice_in,,,,,IMEI_118849,4415801574377,3405037569685,,,,,,,,,,,,False,,,2023-11-26T22:18:21.000Z,,
,,475,"26.0513,19.5417",31/03/2023 12:30:33,,,CELL_869,,,,,,,6935859450295,4926799445599,,,,,,,,,,,IMEI_512067,False,,,,,
conference,,,,,3045,,CELL_722,,11/06/2023 09:51:33,,,3403953550083,,,,,,,,,IMEI_770474,"-31.9355,-15.7096",,,,,False,4056805691044,,,,
,,257,,,,,,voice_in,04/23/2023 18:25:37,,,9227060879988,,,,,,,,,IMEI_680697,"-62.1719,134.0541",,,9287129869237,,False,,,,,
,,,,,1050,,,,,,,5735765721704,,4122495480337,,,CELL_702,,,,,"-12.1576,176.6025",,,,,False,,10/08/2023 23:05:11,,voice_in,
,,,,1673510565,,"-16.8276,-42.7496",,voice_in,,,CELL_964,3412743615148,,,,IMEI_524605,,,,,,,,,,,False,9738186628743,,,,3107
,,,,,3456,,,,,,,,IMEI_642365,,,,,5589576045517,2701840134482,"7.3312,-39.9786",,,,CELL_899,,,False,,,10/05/2023 23:18:33,video_in,
,,,,,,,,conference,2023-12-05 21:44:19,,CELL_956,,,,,IMEI_888554,,,8232549638667,,,"30.1107,177.3684",,,8039887761239,,False,,,,,268
conference,,,,,,,,,,6085527926689,CELL_454,,,8022336100712,,,,,,"37.4583,-129.3294",IMEI_353192,,,,,,False,,,2023-01-23 00:38:24,,1271
,,,,,,,,,,7642115057354,CELL_879,,IMEI_894063,1871990643760,,,,,,,,"-71.5990,-114.1442",,,,,False,,2023-10-23 21:16:29,,video_out,1125
,,,"-61.7687,-78.0537",,1377,,,,28/12/2023 19:52:44,,,,IMEI_220466,,9686471161252,,CELL_495,,,,,,,,,,False,1359248940319,,,,
,,,"-29.6661,116.8317",2023-11-15T13:10:10.000Z,1663,,,,,,,,,,2420243729863,IMEI_965000,,,,,,,,CELL_516,2578718029408,,False,,,,voice_out,
,,,,,,,,conference,,6225585250953,CELL_714,,,,,,,,,,,"1.2402,-141.5884",1830,,6132284949347,,False,,,30/11/2023 20:34:54,,
,voice_out,,"-42.8984,-87.0075",,75,,,,,,CELL_347,,IMEI_991563,,,,,,4026543684162,,,,,,,,False,3139257421198,,1697241756,,
,,,"-19.8309,110.1334",05/23/2023 05:47:59,,,,,,,CELL_463,,IMEI_799521,,7865586507606,,,,,,,,,,2166950240340,,False,,,,conference,1285
,,,,,3480,,,voice_in,,,,,,,,IMEI_572627,CELL_700,8719182289777,8666300467709,"75.8287,49.3950",,,,,,,False,,,2023-09-01 02:21:22,,
,,262,,,,,,,,,,,,,,,CELL_349,,5938356325392,"-57.0023,-14.5988",,,,,4468991558957,IMEI_180353,True,,,08/12/2023 18:27:35,conference,
,,,,,2292,,,,,,CELL_523,8025512756808,,,,,,,,"69.3388,48.3553",IMEI_813046,,,,2061579745310,,False,,06/12/2023 02:41:06,,voice_out,
,,3281,,,,,,,2023-11-03T22:28:33.000Z,7282020997708,,,,,,,,9170821766022,,"-5.0853,-148.2477",,,,CELL_820,,IMEI_840559,False,,,,voice_in,
,video_in,,"-83.0663,34.6891",,55,,,,,,CELL_435,,,7593752500848,,,,,6925063379290,,,,,,,,False,,,1700873153,,
voice_out,,,,,3373,,,,,,CELL_305,7454801720794,IMEI_851670,4210658249813,,,,,,,,"75.1960,-151.5998",,,,,False,,,12/10/2023 06:32:24,,
,video_in,2215,,11/29/2023 17:42:50,,,,,,,,7499031800615,IMEI_497853,,,,,,,,,"-34.5435,71.0689",,,6046487516594,,False,,,,,
,,,,,,"30.5555,95.7239",,,2023-09-01 08:33:29,,CELL_109,6191537045852,,,,,,,,,IMEI_726147,,,,,,False,2254127283682,,,voice_in,3025
,,369,,,,,CELL_541,voice_in,1676878337,,,,,,2861522457108,,,,,,IMEI_452866,,,,,,False,2179513690979,,,,
video_in,,,"-63.9668,65.4036",,,,,,,,,,IMEI_224417,,,,,,7892664885466,,,,2425,CELL_540,,,False,4034349270787,,2023-06-21 16:46:47,,
conference,,,,,,,CELL_423,,,,,8576826433512,,2513434580805,,,,,,,,"-26.9027,154.4693",109,,,IMEI_843082,True,,11/03/2023 20:52:31,,,
,video_out,,,,3431,,CELL_148,,,7439033688891,,,,,,,,,,"-76.0354,-24.3573",IMEI_107215,,,,,,False,3570045565070,,25/03/2023 18:46:49,,
,,,,,,"9.0899,148.0857",,,2023-06-18 17:57:53,5771525626223,,,,4417025380416,,,,,,,IMEI_419657,,245,CELL_304,,,False,,,,conference,
,conference,,,,2075,,,,,8036132734752,,,,1258046822395,,IMEI_529854,,,,"63.0198,-69.6302",,,,CELL_731,,,False,,,29/07/2023 07:57:19,,
,,,,,,,,,28/11/2023 14:14:06,,,4027350965546,,,,,,,,,,"17.4231,-50.1698",,CELL_627,,IMEI_241553,False,2673138194920,,,conference,2147
