roaming_status,action,geo_coordinates,event_id,platform,subscriber_id,event_type,position,terminal_model,home_network,network_type,recorded_at,bearer_type,user_id,device_type,timestamp,transaction_id,device_model,tracking_id,os_version,device_os,is_roaming,access_technology,event_name,service_action,roaming_active,location,event_time,log_time,phone_number,connection_type,msisdn,is_fraud,session_id,handset,cell_location,os_type
,,,,,,,,Samsung Galaxy S22,,WiFi,,,8895751229451,,,,,2538fe2f-f2bd-4ba1-bc95-17be06e413ec,,iOS 16,True,,app_launch,,,,,1703231514,,,,False,,,"54.2450,113.0615",
,,"31.2602,91.3589",,,,SIM switch,,,,,,4G,7447502899693,,,,Oppo F21,7701c86c-c058-42c9-afd8-696ef98650e9,,,True,,,,,,2023-10-28 18:32:50,,,,,False,,,,iOS 15
True,,,59a29b35-c163-4b3f-8d85-430a657f7183,,,,,,,,,,9352375214527,,,,Vivo V25,,iOS 15,,,WiFi,location_change,,,"-76.4023,-8.5953",13/08/2023 04:05:10,,,,,False,,,,
,,,,,,,,,False,4G,,,8127257625836,Pixel 7,2023-10-17T23:13:51.000Z,,,,,,,,,power_on,,"39.1362,-104.7381",,,,,,False,ec95545b-cd8e-42c2-9d50-e100c545fff5,,,Android 13
,,,5fa09acf-6786-4187-87b3-3ad45948cfe0,,9497361957131,,,,6,,,,,Oppo F21,,,,,Android 13,,,,,,,,,2023-03-27T12:17:27.000Z,,WiFi,,False,,,"32.2027,83.6421",
True,app_launch,,39009fa2-9d10-42e6-ba42-1666713735b0,,,,,,,2G,,,,,2023-03-25 02:42:54,,,,,iOS 15,,,,,,,,,,,2605817292422,False,,,"-83.3894,-99.1551",
,,,,Android 11,,,,,,,1700991070,4G,,Pixel 7,,,,,,,False,,app_launch,,,"-56.2381,49.9675",,,3403102134543,,,False,4f1c4dc4-8cfd-4fc7-bbbf-498956deb461,,,
,,,,,3814785005451,,,,,5G,,,,,,42e75750-3a2d-4a21-9109-b18e1d9d3eb7,,,,,,,,app_launch,True,,,19/08/2023 03:06:42,,,,False,,Oppo F21,"51.2451,-104.9303",Android 13
,,,,,2749836570262,location_change,"-13.7712,169.7228",,,,,,,,,,,8aa02314-f7fc-400f-9b1a-6fde63eea51b,,,True,5G,,,,,,2023-02-25 21:01:38,,,,False,,Pixel 6,,Android 12
False,location_change,,,,,,,,,,,,5471405569832,,05/16/2023 21:06:49,,,bda8c0de-d3d7-4d4e-9dd4-80711e8d5867,,,,,,,,,,,,3G,,False,,Vivo V25,"40.1368,-88.0211",iOS 16
,SIM switch,,794eb774-44fe-4d6e-8e64-2a4739b2948a,,,,"-72.1664,-156.0746",,,,,,,,,,Oppo F21,,Android 11,,False,,,,,,,02/16/2023 22:58:46,,,3325568223190,False,,,,
,SIM switch,"52.1567,-54.1561",,,,,,,True,,,,,,,,Vivo V25,ae826c99-dde4-4ff1-838c-3944e4e05454,,,,,,,,,20/05/2023 00:23:58,,4556696680098,WiFi,,False,,,,Android 12
,,,,,6621385567446,,,Vivo V25,,,,WiFi,,,,,,,,,True,,app_launch,,,,28/07/2023 05:03:48,,,,,False,a5036b64-6c8f-4202-93da-1b63a9a868e2,,"43.5631,-177.8660",Android 11
,,,,,,,"-58.7524,53.0330",,,,,5G,,,,,,d1163107-3445-4298-9a28-384cd33121f9,,Android 13,,,,power_on,True,,2023-12-12 10:14:15,,3945085273693,,,False,,Pixel 6,,
False,,"45.9774,141.3286",,iOS 16,,,,,,,01/07/2023 20:18:35,,,,,,,,,,,,,location_change,,,,,,3G,8434435264642,False,602b94d6-f9b8-4ab0-a0f7-4966a07ffe8a,Realme GT,,
,,,0fcfb18f-cdc4-4615-a218-6072bebd0e05,iOS 16,,,,,False,,2023-10-06T00:46:15.000Z,,2623632453305,,,,,,,,,5G,app_launch,,,,,,,,,False,,Realme GT,"-74.6077,103.0767",
,,"75.5901,100.0937",,Android 13,,,,,False,,,,,,2023-10-14T18:45:23.000Z,1beda5d8-33ac-4724-9c68-a3f50857b318,,,,,,,,app_launch,,,,,,WiFi,5508569599129,False,,Pixel 6,,
,,,,,,,"-38.6683,-116.5362",,False,,,,6878273349738,,,,,,,,,,,app_launch,,,,2023-06-29 03:10:04,,,,False,acb25e83-b571-4d47-8343-82561bf2b604,iPhone 14,,Android 11
,,,,,,,"63.6244,-32.1462",Realme GT,,,,,,,2023-05-17T15:47:47.000Z,,,6a2f4e92-6f3f-4eb7-b543-fda32322ac4d,,Android 12,True,,power_on,,,,,,6048760547308,WiFi,,False,,,,
,,,,,,power_on,"35.1122,117.0287",,,,,3G,,,,,,,,Android 11,,,,,False,,1686626155,,,,6164703022762,False,91e1ec8f-394b-49e0-83cb-616e9650ff00,OnePlus 10,,
,power_on,"-18.8799,36.6193",,,,,,,,5G,,,,,,,,,,,True,,,,,,04/09/2023 09:49:38,,3825051710876,,,False,3c9345c0-0252-4548-87aa-204b6f40d3ec,,,
,power_on,"-86.1837,-177.2718",e3e25a4b-ee4e-4056-a13c-761acffb6117,,,,,,,,,,8155674619882,,12/20/2023 20:54:36,,,,,,False,,,,,,,,,3G,,False,,iPhone 14,,iOS 16
,,,,,3313612784009,,,Realme GT,True,,,,,,,,,,,iOS 15,,,,power_on,,,,1677554619,,4G,,False,ea196955-5fd5-46db-8f85-6d86c3272dee,,"-69.1180,-150.5100",
,,,,,,,"-6.9296,136.0091",,True,,1688912160,,5768434183910,Vivo V25,,,,,Android 13,,,,,app_launch,,,,,,WiFi,,False,129d0fe4-9db9-45df-8470-6de6a8d0c8ca,,,
